Agent DT2 issued deposit	 of $506.00	at:09/15/2024 22:21:57 EDT	Transaction Number : 1
Agent WT8 issued withdrawal	 of $93.00	at:09/15/2024 23:39:48 EDT	Transaction Number : 11835
Agent WT5 issued withdrawal	 of $96.00	at:09/15/2024 23:39:48 EDT	Transaction Number : 11837
Agent WT6 issued withdrawal	 of $96.00	at:09/15/2024 23:39:49 EDT	Transaction Number : 11842
Agent DT2 issued deposit	 of $467.00	at:09/15/2024 23:39:49 EDT	Transaction Number : 11848
Agent WT9 issued withdrawal	 of $93.00	at:09/15/2024 23:39:49 EDT	Transaction Number : 11861
Agent WT6 issued withdrawal	 of $92.00	at:09/15/2024 23:39:49 EDT	Transaction Number : 11863
Agent WT6 issued withdrawal	 of $92.00	at:09/15/2024 23:39:49 EDT	Transaction Number : 11868
Agent DT1 issued deposit	 of $490.00	at:09/15/2024 23:39:49 EDT	Transaction Number : 11869
Agent WT3 issued withdrawal	 of $90.00	at:09/15/2024 23:39:49 EDT	Transaction Number : 11870
Agent DT3 issued deposit	 of $541.00	at:09/15/2024 23:39:49 EDT	Transaction Number : 11888
Agent DT5 issued deposit	 of $555.00	at:09/15/2024 23:39:50 EDT	Transaction Number : 11889
Agent WT7 issued withdrawal	 of $98.00	at:09/15/2024 23:39:50 EDT	Transaction Number : 11890
Agent WT3 issued withdrawal	 of $93.00	at:09/15/2024 23:39:50 EDT	Transaction Number : 11893
Agent WT6 issued withdrawal	 of $94.00	at:09/15/2024 23:39:50 EDT	Transaction Number : 11898
Agent DT4 issued deposit	 of $576.00	at:09/15/2024 23:39:50 EDT	Transaction Number : 11900
Agent WT6 issued withdrawal	 of $93.00	at:09/15/2024 23:39:50 EDT	Transaction Number : 11902
Agent WT6 issued withdrawal	 of $91.00	at:09/15/2024 23:39:50 EDT	Transaction Number : 11911
Agent WT1 issued withdrawal	 of $92.00	at:09/15/2024 23:39:50 EDT	Transaction Number : 11926
Agent WT2 issued withdrawal	 of $90.00	at:09/15/2024 23:39:50 EDT	Transaction Number : 11930
Agent DT4 issued deposit	 of $533.00	at:09/15/2024 23:39:50 EDT	Transaction Number : 11948
Agent WT9 issued withdrawal	 of $98.00	at:09/15/2024 23:39:50 EDT	Transaction Number : 11951
Agent WT3 issued withdrawal	 of $90.00	at:09/15/2024 23:39:50 EDT	Transaction Number : 11970
Agent DT3 issued deposit	 of $516.00	at:09/15/2024 23:39:50 EDT	Transaction Number : 11974
Agent WT4 issued withdrawal	 of $94.00	at:09/15/2024 23:39:50 EDT	Transaction Number : 11977
Agent DT1 issued deposit	 of $579.00	at:09/15/2024 23:39:50 EDT	Transaction Number : 11978
Agent WT5 issued withdrawal	 of $94.00	at:09/15/2024 23:39:50 EDT	Transaction Number : 11985
Agent WT1 issued withdrawal	 of $90.00	at:09/15/2024 23:39:50 EDT	Transaction Number : 11989
Agent DT2 issued deposit	 of $555.00	at:09/15/2024 23:39:50 EDT	Transaction Number : 11990
Agent DT2 issued deposit	 of $503.00	at:09/15/2024 23:39:50 EDT	Transaction Number : 12007
Agent DT4 issued deposit	 of $522.00	at:09/15/2024 23:39:51 EDT	Transaction Number : 12019
Agent DT2 issued deposit	 of $462.00	at:09/15/2024 23:39:51 EDT	Transaction Number : 12020
Agent WT2 issued withdrawal	 of $97.00	at:09/15/2024 23:39:51 EDT	Transaction Number : 12048
Agent DT4 issued deposit	 of $469.00	at:09/15/2024 23:39:51 EDT	Transaction Number : 12054
Agent DT3 issued deposit	 of $541.00	at:09/15/2024 23:39:51 EDT	Transaction Number : 12055
Agent WT10 issued withdrawal	 of $95.00	at:09/15/2024 23:39:51 EDT	Transaction Number : 12057
Agent WT8 issued withdrawal	 of $92.00	at:09/15/2024 23:39:51 EDT	Transaction Number : 12059
Agent WT5 issued withdrawal	 of $90.00	at:09/15/2024 23:39:51 EDT	Transaction Number : 12066
Agent WT6 issued withdrawal	 of $95.00	at:09/15/2024 23:39:51 EDT	Transaction Number : 12083
Agent WT1 issued withdrawal	 of $91.00	at:09/15/2024 23:39:52 EDT	Transaction Number : 12086
Agent WT9 issued withdrawal	 of $93.00	at:09/15/2024 23:39:52 EDT	Transaction Number : 12124
Agent WT1 issued withdrawal	 of $92.00	at:09/15/2024 23:39:52 EDT	Transaction Number : 12131
Agent WT9 issued withdrawal	 of $97.00	at:09/15/2024 23:39:52 EDT	Transaction Number : 12133
Agent WT5 issued withdrawal	 of $95.00	at:09/15/2024 23:39:52 EDT	Transaction Number : 12137
Agent DT5 issued deposit	 of $590.00	at:09/15/2024 23:39:52 EDT	Transaction Number : 12151
Agent WT10 issued withdrawal	 of $97.00	at:09/15/2024 23:39:52 EDT	Transaction Number : 12161
Agent WT9 issued withdrawal	 of $97.00	at:09/15/2024 23:39:53 EDT	Transaction Number : 12177
Agent WT3 issued withdrawal	 of $93.00	at:09/15/2024 23:39:53 EDT	Transaction Number : 12180
Agent WT6 issued withdrawal	 of $90.00	at:09/15/2024 23:39:53 EDT	Transaction Number : 12193
Agent DT3 issued deposit	 of $573.00	at:09/15/2024 23:39:54 EDT	Transaction Number : 12204
Agent WT7 issued withdrawal	 of $92.00	at:09/15/2024 23:39:54 EDT	Transaction Number : 12206
Agent DT5 issued deposit	 of $551.00	at:09/15/2024 23:39:54 EDT	Transaction Number : 12207
Agent DT4 issued deposit	 of $559.00	at:09/15/2024 23:39:54 EDT	Transaction Number : 12211
Agent DT2 issued deposit	 of $545.00	at:09/15/2024 23:39:54 EDT	Transaction Number : 12212
Agent WT2 issued withdrawal	 of $91.00	at:09/15/2024 23:39:54 EDT	Transaction Number : 12227
Agent WT8 issued withdrawal	 of $91.00	at:09/15/2024 23:39:54 EDT	Transaction Number : 12233
Agent WT4 issued withdrawal	 of $91.00	at:09/15/2024 23:39:54 EDT	Transaction Number : 12245
Agent WT5 issued withdrawal	 of $91.00	at:09/15/2024 23:39:54 EDT	Transaction Number : 12263
Agent WT1 issued withdrawal	 of $92.00	at:09/15/2024 23:39:54 EDT	Transaction Number : 12272
Agent WT10 issued withdrawal	 of $93.00	at:09/15/2024 23:39:55 EDT	Transaction Number : 12278
Agent WT1 issued withdrawal	 of $92.00	at:09/15/2024 23:39:55 EDT	Transaction Number : 12312
Agent DT4 issued deposit	 of $490.00	at:09/15/2024 23:39:55 EDT	Transaction Number : 12318
Agent WT8 issued withdrawal	 of $97.00	at:09/15/2024 23:39:55 EDT	Transaction Number : 12326
Agent WT6 issued withdrawal	 of $96.00	at:09/15/2024 23:39:55 EDT	Transaction Number : 12328
Agent WT5 issued withdrawal	 of $90.00	at:09/15/2024 23:39:55 EDT	Transaction Number : 12329
Agent WT9 issued withdrawal	 of $93.00	at:09/15/2024 23:39:55 EDT	Transaction Number : 12340
Agent WT5 issued withdrawal	 of $96.00	at:09/15/2024 23:39:55 EDT	Transaction Number : 12354
Agent DT4 issued deposit	 of $472.00	at:09/15/2024 23:39:56 EDT	Transaction Number : 12376
Agent WT4 issued withdrawal	 of $96.00	at:09/15/2024 23:39:56 EDT	Transaction Number : 12385
Agent WT10 issued withdrawal	 of $95.00	at:09/15/2024 23:39:56 EDT	Transaction Number : 12388
Agent DT2 issued deposit	 of $460.00	at:09/15/2024 23:39:56 EDT	Transaction Number : 12409
Agent WT9 issued withdrawal	 of $98.00	at:09/15/2024 23:39:56 EDT	Transaction Number : 12410
Agent WT3 issued withdrawal	 of $92.00	at:09/15/2024 23:39:56 EDT	Transaction Number : 12422
Agent WT2 issued withdrawal	 of $93.00	at:09/15/2024 23:39:56 EDT	Transaction Number : 12441
Agent WT3 issued withdrawal	 of $90.00	at:09/15/2024 23:39:57 EDT	Transaction Number : 12452
Agent WT8 issued withdrawal	 of $97.00	at:09/15/2024 23:39:57 EDT	Transaction Number : 12458
Agent WT2 issued withdrawal	 of $92.00	at:09/15/2024 23:39:57 EDT	Transaction Number : 12465
Agent DT5 issued deposit	 of $541.00	at:09/15/2024 23:39:57 EDT	Transaction Number : 12477
Agent WT7 issued withdrawal	 of $97.00	at:09/15/2024 23:39:57 EDT	Transaction Number : 12486
Agent WT5 issued withdrawal	 of $97.00	at:09/15/2024 23:39:57 EDT	Transaction Number : 12500
Agent WT2 issued withdrawal	 of $91.00	at:09/15/2024 23:39:57 EDT	Transaction Number : 12519
Agent DT5 issued deposit	 of $580.00	at:09/15/2024 23:39:58 EDT	Transaction Number : 12567
Agent DT2 issued deposit	 of $457.00	at:09/15/2024 23:39:58 EDT	Transaction Number : 12568
Agent WT5 issued withdrawal	 of $94.00	at:09/15/2024 23:39:58 EDT	Transaction Number : 12569
Agent WT2 issued withdrawal	 of $90.00	at:09/15/2024 23:39:58 EDT	Transaction Number : 12585
Agent WT8 issued withdrawal	 of $94.00	at:09/15/2024 23:39:58 EDT	Transaction Number : 12586
Agent WT9 issued withdrawal	 of $98.00	at:09/15/2024 23:39:58 EDT	Transaction Number : 12589
Agent DT4 issued deposit	 of $477.00	at:09/15/2024 23:39:58 EDT	Transaction Number : 12595
Agent WT7 issued withdrawal	 of $96.00	at:09/15/2024 23:39:58 EDT	Transaction Number : 12607
Agent WT5 issued withdrawal	 of $91.00	at:09/15/2024 23:39:58 EDT	Transaction Number : 12610
Agent WT6 issued withdrawal	 of $96.00	at:09/15/2024 23:39:58 EDT	Transaction Number : 12612
Agent WT9 issued withdrawal	 of $95.00	at:09/15/2024 23:39:59 EDT	Transaction Number : 12624
Agent WT1 issued withdrawal	 of $90.00	at:09/15/2024 23:39:59 EDT	Transaction Number : 12640
Agent WT1 issued withdrawal	 of $92.00	at:09/15/2024 23:39:59 EDT	Transaction Number : 12652
Agent DT3 issued deposit	 of $508.00	at:09/15/2024 23:39:59 EDT	Transaction Number : 12657
Agent WT3 issued withdrawal	 of $96.00	at:09/15/2024 23:39:59 EDT	Transaction Number : 12662
Agent DT4 issued deposit	 of $498.00	at:09/15/2024 23:39:59 EDT	Transaction Number : 12671
Agent WT3 issued withdrawal	 of $95.00	at:09/15/2024 23:39:59 EDT	Transaction Number : 12673
Agent WT9 issued withdrawal	 of $91.00	at:09/15/2024 23:39:59 EDT	Transaction Number : 12674
Agent WT7 issued withdrawal	 of $91.00	at:09/15/2024 23:39:59 EDT	Transaction Number : 12676
Agent WT2 issued withdrawal	 of $92.00	at:09/15/2024 23:39:59 EDT	Transaction Number : 12679
Agent DT1 issued deposit	 of $584.00	at:09/15/2024 23:40:00 EDT	Transaction Number : 12688
Agent WT4 issued withdrawal	 of $92.00	at:09/15/2024 23:40:00 EDT	Transaction Number : 12689
Agent WT8 issued withdrawal	 of $90.00	at:09/15/2024 23:40:00 EDT	Transaction Number : 12698
Agent WT1 issued withdrawal	 of $94.00	at:09/15/2024 23:40:00 EDT	Transaction Number : 12702
Agent WT3 issued withdrawal	 of $92.00	at:09/15/2024 23:40:00 EDT	Transaction Number : 12710
Agent WT7 issued withdrawal	 of $94.00	at:09/15/2024 23:40:00 EDT	Transaction Number : 12717
Agent DT5 issued deposit	 of $570.00	at:09/15/2024 23:40:00 EDT	Transaction Number : 12720
Agent WT9 issued withdrawal	 of $92.00	at:09/15/2024 23:40:00 EDT	Transaction Number : 12728
Agent WT8 issued withdrawal	 of $95.00	at:09/15/2024 23:40:00 EDT	Transaction Number : 12737
Agent WT3 issued withdrawal	 of $96.00	at:09/15/2024 23:40:00 EDT	Transaction Number : 12741
Agent WT3 issued withdrawal	 of $92.00	at:09/15/2024 23:40:00 EDT	Transaction Number : 12754
Agent WT7 issued withdrawal	 of $97.00	at:09/15/2024 23:40:00 EDT	Transaction Number : 12757
Agent DT2 issued deposit	 of $536.00	at:09/15/2024 23:40:01 EDT	Transaction Number : 12759
Agent DT3 issued deposit	 of $515.00	at:09/15/2024 23:40:01 EDT	Transaction Number : 12760
Agent WT4 issued withdrawal	 of $92.00	at:09/15/2024 23:40:01 EDT	Transaction Number : 12769
Agent WT6 issued withdrawal	 of $91.00	at:09/15/2024 23:40:01 EDT	Transaction Number : 12779
Agent WT6 issued withdrawal	 of $93.00	at:09/15/2024 23:40:01 EDT	Transaction Number : 12785
Agent WT10 issued withdrawal	 of $94.00	at:09/15/2024 23:40:02 EDT	Transaction Number : 12812
Agent WT3 issued withdrawal	 of $95.00	at:09/15/2024 23:40:02 EDT	Transaction Number : 12817
Agent WT3 issued withdrawal	 of $95.00	at:09/15/2024 23:40:02 EDT	Transaction Number : 12823
Agent WT1 issued withdrawal	 of $90.00	at:09/15/2024 23:40:02 EDT	Transaction Number : 12830
Agent WT10 issued withdrawal	 of $94.00	at:09/15/2024 23:40:02 EDT	Transaction Number : 12832
Agent DT2 issued deposit	 of $488.00	at:09/15/2024 23:40:02 EDT	Transaction Number : 12838
Agent DT1 issued deposit	 of $548.00	at:09/15/2024 23:40:02 EDT	Transaction Number : 12839
Agent DT1 issued deposit	 of $535.00	at:09/15/2024 23:40:02 EDT	Transaction Number : 12858
Agent DT4 issued deposit	 of $560.00	at:09/15/2024 23:40:02 EDT	Transaction Number : 12859
Agent WT1 issued withdrawal	 of $97.00	at:09/15/2024 23:40:02 EDT	Transaction Number : 12860
Agent WT5 issued withdrawal	 of $95.00	at:09/15/2024 23:40:03 EDT	Transaction Number : 12887
Agent DT4 issued deposit	 of $571.00	at:09/15/2024 23:40:03 EDT	Transaction Number : 12904
Agent DT5 issued deposit	 of $592.00	at:09/15/2024 23:40:03 EDT	Transaction Number : 12914
Agent WT1 issued withdrawal	 of $98.00	at:09/15/2024 23:40:03 EDT	Transaction Number : 12915
Agent WT6 issued withdrawal	 of $95.00	at:09/15/2024 23:40:03 EDT	Transaction Number : 12932
Agent DT1 issued deposit	 of $494.00	at:09/15/2024 23:40:04 EDT	Transaction Number : 12949
Agent WT6 issued withdrawal	 of $95.00	at:09/15/2024 23:40:04 EDT	Transaction Number : 12955
Agent DT2 issued deposit	 of $503.00	at:09/15/2024 23:40:04 EDT	Transaction Number : 12958
Agent WT5 issued withdrawal	 of $95.00	at:09/15/2024 23:40:04 EDT	Transaction Number : 12966
Agent DT1 issued deposit	 of $502.00	at:09/15/2024 23:40:04 EDT	Transaction Number : 12969
Agent WT10 issued withdrawal	 of $97.00	at:09/15/2024 23:40:04 EDT	Transaction Number : 12990
Agent WT10 issued withdrawal	 of $95.00	at:09/15/2024 23:40:04 EDT	Transaction Number : 13010
Agent WT6 issued withdrawal	 of $98.00	at:09/15/2024 23:40:04 EDT	Transaction Number : 13014
Agent DT5 issued deposit	 of $530.00	at:09/15/2024 23:40:04 EDT	Transaction Number : 13018
Agent DT4 issued deposit	 of $564.00	at:09/15/2024 23:40:04 EDT	Transaction Number : 13034
Agent WT4 issued withdrawal	 of $95.00	at:09/15/2024 23:40:04 EDT	Transaction Number : 13042
Agent WT9 issued withdrawal	 of $97.00	at:09/15/2024 23:40:04 EDT	Transaction Number : 13047
Agent WT6 issued withdrawal	 of $98.00	at:09/15/2024 23:40:05 EDT	Transaction Number : 13066
Agent DT5 issued deposit	 of $454.00	at:09/15/2024 23:40:05 EDT	Transaction Number : 13071
Agent WT2 issued withdrawal	 of $94.00	at:09/15/2024 23:40:05 EDT	Transaction Number : 13082
Agent WT2 issued withdrawal	 of $93.00	at:09/15/2024 23:40:06 EDT	Transaction Number : 13090
Agent DT4 issued deposit	 of $500.00	at:09/15/2024 23:40:06 EDT	Transaction Number : 13092
Agent WT10 issued withdrawal	 of $98.00	at:09/15/2024 23:40:06 EDT	Transaction Number : 13114
Agent DT5 issued deposit	 of $537.00	at:09/15/2024 23:40:06 EDT	Transaction Number : 13123
Agent WT6 issued withdrawal	 of $92.00	at:09/15/2024 23:40:06 EDT	Transaction Number : 13138
Agent WT9 issued withdrawal	 of $95.00	at:09/15/2024 23:40:06 EDT	Transaction Number : 13147
Agent WT2 issued withdrawal	 of $97.00	at:09/15/2024 23:40:06 EDT	Transaction Number : 13148
Agent WT2 issued withdrawal	 of $94.00	at:09/15/2024 23:40:06 EDT	Transaction Number : 13161
Agent DT3 issued deposit	 of $519.00	at:09/15/2024 23:40:06 EDT	Transaction Number : 13166
Agent DT2 issued deposit	 of $497.00	at:09/15/2024 23:41:58 EDT	Transaction Number : 2
Agent WT8 issued withdrawal	 of $92.00	at:09/15/2024 23:41:59 EDT	Transaction Number : 12
Agent DT4 issued deposit	 of $590.00	at:09/15/2024 23:41:59 EDT	Transaction Number : 16
Agent WT5 issued withdrawal	 of $95.00	at:09/15/2024 23:41:59 EDT	Transaction Number : 28
Agent WT3 issued withdrawal	 of $95.00	at:09/15/2024 23:41:59 EDT	Transaction Number : 31
Agent DT2 issued deposit	 of $587.00	at:09/15/2024 23:41:59 EDT	Transaction Number : 45
Agent WT4 issued withdrawal	 of $98.00	at:09/15/2024 23:41:59 EDT	Transaction Number : 50
Agent WT6 issued withdrawal	 of $95.00	at:09/15/2024 23:41:59 EDT	Transaction Number : 51
Agent WT9 issued withdrawal	 of $97.00	at:09/15/2024 23:41:59 EDT	Transaction Number : 55
Agent WT8 issued withdrawal	 of $91.00	at:09/15/2024 23:41:59 EDT	Transaction Number : 61
Agent DT2 issued deposit	 of $535.00	at:09/15/2024 23:42:00 EDT	Transaction Number : 74
Agent WT9 issued withdrawal	 of $95.00	at:09/15/2024 23:42:00 EDT	Transaction Number : 86
Agent DT4 issued deposit	 of $453.00	at:09/15/2024 23:42:00 EDT	Transaction Number : 96
Agent DT3 issued deposit	 of $529.00	at:09/15/2024 23:42:01 EDT	Transaction Number : 110
Agent DT2 issued deposit	 of $519.00	at:09/15/2024 23:42:01 EDT	Transaction Number : 127
Agent WT3 issued withdrawal	 of $93.00	at:09/15/2024 23:42:01 EDT	Transaction Number : 135
Agent WT2 issued withdrawal	 of $96.00	at:09/15/2024 23:42:01 EDT	Transaction Number : 146
Agent WT3 issued withdrawal	 of $96.00	at:09/15/2024 23:42:01 EDT	Transaction Number : 147
Agent WT10 issued withdrawal	 of $95.00	at:09/15/2024 23:42:01 EDT	Transaction Number : 153
Agent WT9 issued withdrawal	 of $98.00	at:09/15/2024 23:42:01 EDT	Transaction Number : 163
Agent WT10 issued withdrawal	 of $96.00	at:09/15/2024 23:42:01 EDT	Transaction Number : 166
Agent DT5 issued deposit	 of $477.00	at:09/15/2024 23:42:01 EDT	Transaction Number : 165
Agent DT2 issued deposit	 of $522.00	at:09/15/2024 23:42:02 EDT	Transaction Number : 195
Agent WT4 issued withdrawal	 of $97.00	at:09/15/2024 23:42:02 EDT	Transaction Number : 208
Agent WT8 issued withdrawal	 of $98.00	at:09/15/2024 23:42:02 EDT	Transaction Number : 223
Agent WT7 issued withdrawal	 of $95.00	at:09/15/2024 23:42:02 EDT	Transaction Number : 236
Agent DT4 issued deposit	 of $497.00	at:09/15/2024 23:42:02 EDT	Transaction Number : 245
Agent DT2 issued deposit	 of $597.00	at:09/15/2024 23:42:02 EDT	Transaction Number : 249
Agent DT5 issued deposit	 of $518.00	at:09/15/2024 23:42:02 EDT	Transaction Number : 250
Agent WT8 issued withdrawal	 of $91.00	at:09/15/2024 23:42:02 EDT	Transaction Number : 256
Agent WT2 issued withdrawal	 of $95.00	at:09/15/2024 23:42:02 EDT	Transaction Number : 263
Agent WT4 issued withdrawal	 of $96.00	at:09/15/2024 23:42:03 EDT	Transaction Number : 274
Agent DT2 issued deposit	 of $571.00	at:09/15/2024 23:42:03 EDT	Transaction Number : 283
Agent WT6 issued withdrawal	 of $96.00	at:09/15/2024 23:42:03 EDT	Transaction Number : 296
Agent DT4 issued deposit	 of $476.00	at:09/15/2024 23:42:03 EDT	Transaction Number : 306
Agent DT3 issued deposit	 of $491.00	at:09/15/2024 23:42:03 EDT	Transaction Number : 307
Agent WT8 issued withdrawal	 of $95.00	at:09/15/2024 23:42:03 EDT	Transaction Number : 311
Agent WT2 issued withdrawal	 of $98.00	at:09/15/2024 23:42:04 EDT	Transaction Number : 339
Agent DT4 issued deposit	 of $460.00	at:09/15/2024 23:42:04 EDT	Transaction Number : 344
Agent WT5 issued withdrawal	 of $92.00	at:09/15/2024 23:42:04 EDT	Transaction Number : 345
Agent WT1 issued withdrawal	 of $92.00	at:09/15/2024 23:42:05 EDT	Transaction Number : 395
Agent DT1 issued deposit	 of $599.00	at:09/15/2024 23:42:05 EDT	Transaction Number : 399
Agent DT2 issued deposit	 of $564.00	at:09/15/2024 23:42:05 EDT	Transaction Number : 406
Agent WT10 issued withdrawal	 of $98.00	at:09/15/2024 23:42:05 EDT	Transaction Number : 426
Agent WT3 issued withdrawal	 of $97.00	at:09/15/2024 23:42:05 EDT	Transaction Number : 442
Agent WT8 issued withdrawal	 of $93.00	at:09/15/2024 23:42:05 EDT	Transaction Number : 443
Agent WT8 issued withdrawal	 of $98.00	at:09/15/2024 23:42:05 EDT	Transaction Number : 459
Agent WT1 issued withdrawal	 of $95.00	at:09/15/2024 23:42:06 EDT	Transaction Number : 469
Agent WT7 issued withdrawal	 of $95.00	at:09/15/2024 23:42:06 EDT	Transaction Number : 484
Agent WT4 issued withdrawal	 of $94.00	at:09/15/2024 23:42:07 EDT	Transaction Number : 492
Agent DT2 issued deposit	 of $515.00	at:09/15/2024 23:42:07 EDT	Transaction Number : 497
Agent DT2 issued deposit	 of $484.00	at:09/15/2024 23:42:07 EDT	Transaction Number : 499
Agent DT4 issued deposit	 of $518.00	at:09/15/2024 23:42:07 EDT	Transaction Number : 511
Agent WT8 issued withdrawal	 of $90.00	at:09/15/2024 23:42:07 EDT	Transaction Number : 517
Agent WT8 issued withdrawal	 of $90.00	at:09/15/2024 23:42:07 EDT	Transaction Number : 523
Agent WT4 issued withdrawal	 of $97.00	at:09/15/2024 23:42:07 EDT	Transaction Number : 529
Agent DT4 issued deposit	 of $579.00	at:09/15/2024 23:42:08 EDT	Transaction Number : 539
Agent WT2 issued withdrawal	 of $93.00	at:09/15/2024 23:42:08 EDT	Transaction Number : 556
Agent WT3 issued withdrawal	 of $92.00	at:09/15/2024 23:42:08 EDT	Transaction Number : 572
Agent DT3 issued deposit	 of $463.00	at:09/15/2024 23:42:08 EDT	Transaction Number : 587
Agent WT7 issued withdrawal	 of $92.00	at:09/15/2024 23:42:08 EDT	Transaction Number : 602
Agent WT9 issued withdrawal	 of $91.00	at:09/15/2024 23:42:09 EDT	Transaction Number : 610
Agent DT2 issued deposit	 of $508.00	at:09/15/2024 23:42:09 EDT	Transaction Number : 612
Agent WT1 issued withdrawal	 of $96.00	at:09/15/2024 23:42:09 EDT	Transaction Number : 613
Agent WT8 issued withdrawal	 of $98.00	at:09/15/2024 23:42:09 EDT	Transaction Number : 615
Agent WT9 issued withdrawal	 of $91.00	at:09/15/2024 23:42:09 EDT	Transaction Number : 620
Agent WT6 issued withdrawal	 of $97.00	at:09/15/2024 23:42:10 EDT	Transaction Number : 650
Agent DT5 issued deposit	 of $515.00	at:09/15/2024 23:42:10 EDT	Transaction Number : 655
Agent DT3 issued deposit	 of $515.00	at:09/15/2024 23:42:10 EDT	Transaction Number : 659
Agent WT2 issued withdrawal	 of $90.00	at:09/15/2024 23:42:10 EDT	Transaction Number : 661
Agent DT2 issued deposit	 of $544.00	at:09/15/2024 23:42:11 EDT	Transaction Number : 674
Agent WT6 issued withdrawal	 of $93.00	at:09/15/2024 23:42:11 EDT	Transaction Number : 676
Agent WT10 issued withdrawal	 of $98.00	at:09/15/2024 23:42:11 EDT	Transaction Number : 679
Agent WT10 issued withdrawal	 of $94.00	at:09/15/2024 23:42:11 EDT	Transaction Number : 692
Agent DT1 issued deposit	 of $505.00	at:09/15/2024 23:42:11 EDT	Transaction Number : 697
Agent WT1 issued withdrawal	 of $96.00	at:09/15/2024 23:42:11 EDT	Transaction Number : 704
Agent WT7 issued withdrawal	 of $96.00	at:09/15/2024 23:42:11 EDT	Transaction Number : 709
Agent DT4 issued deposit	 of $595.00	at:09/15/2024 23:42:11 EDT	Transaction Number : 734
Agent WT5 issued withdrawal	 of $97.00	at:09/15/2024 23:42:11 EDT	Transaction Number : 753
Agent WT8 issued withdrawal	 of $96.00	at:09/15/2024 23:42:11 EDT	Transaction Number : 762
Agent WT2 issued withdrawal	 of $95.00	at:09/15/2024 23:42:12 EDT	Transaction Number : 782
Agent WT8 issued withdrawal	 of $91.00	at:09/15/2024 23:42:12 EDT	Transaction Number : 785
Agent DT2 issued deposit	 of $452.00	at:09/15/2024 23:42:12 EDT	Transaction Number : 786
Agent DT4 issued deposit	 of $458.00	at:09/15/2024 23:42:12 EDT	Transaction Number : 794
Agent DT5 issued deposit	 of $471.00	at:09/15/2024 23:42:12 EDT	Transaction Number : 795
Agent DT1 issued deposit	 of $450.00	at:09/15/2024 23:42:13 EDT	Transaction Number : 804
Agent WT1 issued withdrawal	 of $98.00	at:09/15/2024 23:42:13 EDT	Transaction Number : 805
Agent WT9 issued withdrawal	 of $93.00	at:09/15/2024 23:42:13 EDT	Transaction Number : 808
Agent WT8 issued withdrawal	 of $90.00	at:09/15/2024 23:42:13 EDT	Transaction Number : 813
Agent WT10 issued withdrawal	 of $90.00	at:09/15/2024 23:42:13 EDT	Transaction Number : 815
Agent WT10 issued withdrawal	 of $92.00	at:09/15/2024 23:42:13 EDT	Transaction Number : 822
Agent DT4 issued deposit	 of $562.00	at:09/15/2024 23:42:13 EDT	Transaction Number : 826
Agent WT9 issued withdrawal	 of $95.00	at:09/15/2024 23:42:14 EDT	Transaction Number : 857
Agent WT8 issued withdrawal	 of $90.00	at:09/15/2024 23:42:14 EDT	Transaction Number : 861
Agent DT4 issued deposit	 of $535.00	at:09/15/2024 23:42:14 EDT	Transaction Number : 867
Agent WT7 issued withdrawal	 of $94.00	at:09/15/2024 23:42:14 EDT	Transaction Number : 888
Agent WT5 issued withdrawal	 of $93.00	at:09/15/2024 23:42:14 EDT	Transaction Number : 892
Agent WT10 issued withdrawal	 of $93.00	at:09/15/2024 23:42:15 EDT	Transaction Number : 894
Agent DT1 issued deposit	 of $551.00	at:09/15/2024 23:42:15 EDT	Transaction Number : 905
Agent DT4 issued deposit	 of $528.00	at:09/15/2024 23:42:15 EDT	Transaction Number : 906
